Case number,Match Name,HorW,end_point_id,start_point_id,XG,start_index,end_index,num_shots,duration,distance_covered,number_of_players_involved,num_pass,zone_1_count,zone_2_count,zone_3_count,zone_4_count,zone_5_count,zone_6_count,zone_7_count,zone_8_count,zone_9_count,zone_10_count,zone_11_count,zone_12_count,zone_13_count,zone_14_count,zone_15_count,zone_16_count,zone_17_count,zone_18_count,zone_19_count,zone_20_count,zone_21_count,zone_22_count,zone_23_count,zone_24_count,Start_Zone,End_Zone,zone_transition_count,forward_movement_count,backward_movement_count,net_progress_ratio,num_opponents_front,distance_to_goal,shoot_angle,period,minute_absolute
266,LeverkusenVSFCKöln_Home,1,191352f4-b6b1-4676-bb29-03561c51730b,0419e708-847b-4ff2-a6f7-50031b3683e4,0.043692373,22,54,1,25.901367000000004,163.40396657920982,6,6,0,0,0,0,0,0,7,3,0,3,4,4,4,1,2,0,1,3,1,0,0,0,0,0,11,19,21,15,10,0.5517625231910945,1,24.66779276708802,18.933741252311407,1,0.63925
267,LeverkusenVSFCKöln_Home,1,e6c7c7ff-c635-4f9b-914c-b299368e07e9,0182f5c4-5955-4de5-8fc0-4d3de4fa49d9,0.259842428,455,551,3,67.086064,479.3268121905579,10,22,0,4,10,0,0,0,0,0,8,9,4,1,7,3,7,5,6,3,3,7,2,17,0,1,9,22,42,37,26,0.5160753880266076,4,15.132745950421556,31.540911267525367,1,12.218066666666667
268,LeverkusenVSFCKöln_Home,1,a0c635e4-d590-46ad-9e55-f054f78a9ff1,57135985-c92c-4e67-8223-4f800e8f3f64,0.166122309,649,687,2,26.389283000000002,206.91102424034673,6,8,0,3,0,0,0,1,0,4,0,0,0,1,10,3,0,0,6,2,3,2,0,0,3,1,13,23,21,14,14,0.5251364550416547,2,7.887331614684394,50.263432476923136,1,15.962566666666667
269,LeverkusenVSFCKöln_Home,1,e0dada79-fcfb-4294-aa8e-18116ec67027,999d4109-c9fa-4fa0-9ef8-1dc108ef5f41,0.213739849,730,980,2,196.84755800199997,1346.0028285775497,9,72,2,6,1,0,25,15,7,3,19,25,25,4,17,27,14,7,11,7,20,5,3,5,2,0,10,22,102,87,69,0.5104865129665349,3,9.610411021387176,47.63810563975092,1,21.0471
270,LeverkusenVSFCKöln_Home,1,2de00683-0883-4d97-892e-a2500b03e67a,2bb7a807-1b93-425e-8a2a-67766d818fd2,0.10844014,1091,1161,1,59.790392999999995,497.66954661413916,11,20,12,6,5,3,7,3,1,0,0,6,2,4,1,0,3,0,0,0,2,3,0,6,5,2,3,22,35,31,17,0.5242158336161342,3,14.481022063376598,32.42402169358684,1,26.23665
271,LeverkusenVSFCKöln_Home,1,0a0aeb90-f461-4fbe-8b3f-9011e25a47d4,9105815c-18f0-4199-b141-66a86b0b5598,0.3447506,1291,1415,1,102.68249999999998,775.2299412384768,10,34,3,3,1,2,3,4,7,1,8,6,5,7,27,6,8,7,6,4,6,3,4,2,2,0,16,23,69,52,39,0.5093132806084965,0,9.158602513484245,32.319186658610334,1,31.38495
272,LeverkusenVSFCKöln_Home,1,30bc9a92-63a7-4dea-86b1-5fd2cd200584,ff883ad0-04f0-43ce-a29a-c9cb60ac65ab,0.041287143400000004,1485,1537,2,40.11784300000001,234.77289102792798,8,11,0,3,5,1,0,0,1,1,0,1,0,0,0,0,6,3,0,5,0,0,10,6,4,5,15,23,28,16,20,0.5100450104292459,4,17.102631376487064,28.259329514535803,1,35.449216666666665
273,LeverkusenVSFCKöln_Home,1,27149088-cbf9-494a-8e26-15ddbc4741e6,d27ee1ef-5799-464a-9286-b02a42dbe888,0.06705256,1585,1627,1,34.550188999999996,262.8885405745059,9,11,0,2,0,0,0,3,10,0,3,3,3,1,3,5,0,1,0,3,1,0,0,0,5,0,11,23,21,17,12,0.5411136954439731,3,15.663013758533186,21.361311849364704,1,37.18651666666667
274,LeverkusenVSFCKöln_Home,1,ea3e0515-ea35-4660-87cd-e1650a061d1c,d1467382-957a-4d9e-ae41-29c1cc700d19,0.051511027,2167,2173,1,8.907536,32.97286316768856,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,14,19,3,3,1,0.6338742393509127,3,23.410467744152406,20.835314890276322,2,46.40646666666667
275,LeverkusenVSFCKöln_Home,1,ea579ea8-c5c3-43cb-86b1-b254b3d6e3fb,0f6641e5-300c-4a71-a9b5-1e690fbe6451,0.38250083,2575,2579,1,6.54534,54.70798908502482,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,13,23,2,2,0,1.0,1,13.685759021698434,32.94642595519366,2,53.57123333333333
276,LeverkusenVSFCKöln_Home,1,365ce792-877a-4513-abd2-98766c899e8f,0b073c1d-a24b-4b57-ac36-b97e6a7a222e,0.054658294,2756,2893,1,111.56325100100001,869.2060052284941,11,41,0,4,5,3,0,4,4,4,0,13,26,5,5,8,13,9,8,4,1,6,6,7,2,0,16,19,67,51,37,0.5062869514530768,3,24.229733799610756,19.05263759887778,2,59.91708333333334
277,LeverkusenVSFCKöln_Home,1,858312e1-fe6f-4281-914e-4fb03ba0374f,1fb4db62-a43f-4931-ac41-a9a30429eca0,0.37799448,3106,3160,1,48.691024002,430.35248785673383,9,18,2,4,0,0,3,0,2,0,3,5,9,12,3,0,1,6,0,0,0,0,0,2,3,0,9,22,26,19,16,0.589171974522293,1,7.723341245859845,46.89320702749933,2,66.52488333333334
278,LeverkusenVSFCKöln_Home,1,5d05bf0a-7b81-496f-8f02-725cdc90f3e9,8e97ecaa-42c4-499c-9f85-57118c59acc9,0.28238183,3173,3179,1,4.001742999999999,27.80401560389148,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,20,23,3,3,1,0.5510820332159034,1,14.038874598770372,32.08828370165379,2,67.89208333333333
279,LeverkusenVSFCKöln_Home,1,7dbc76bb-0c3d-4cd4-9c7c-3227dfe899f5,e1515140-1762-43db-9169-bab30c73f54b,0.04141494,3273,3284,1,11.928581000000001,174.90544111960384,5,3,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,2,23,9,6,3,0.5931430836305984,1,20.81465829649865,21.53170663692331,2,71.95985
280,LeverkusenVSFCKöln_Home,1,dfad304d-d7f5-4215-bedd-365b92649aa8,921f25a3-a69b-4b5c-acb2-00cc3a74f7e3,0.4318183,3599,3606,1,10.861761000000001,99.9586737119512,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,0,0,6,22,5,4,1,0.8691910499139416,0,16.41249523990791,25.831509497939617,2,77.77736666666667
